 AMK Bus Interchange,"53 Ang Mo Kio Avenue 3, S(569933)",Central,,#REF!,Central
 Ang Mo Kio Bus Depot,"Ang Mo Kio Street 52, S(569140)",Central,,,North East
 Bishan Bus Interchange,"514 Bishan Street 13, S(570514)",Central,,,North West
 Harbourfront Bus Terminal,"4 Seah Im Road, S(099115)",Central,,,South East
 Kampong Bahru Bus Terminal,"11A Spooner Road, S(168795)",Central,,,South West
 Kent Ridge Bus Terminal,"37B, Clementi Road, S(884005)",Central,,,
 Queens Street Bus Terminal,"Queens Street Bus Terminal, S(884001)",Central,,,
 Shenton Way Bus Terminal,"31 Shenton Way, S(079121)",Central,,,
 St. Michael's Bus Terminal,"10 Whampoa Road, S(327691)",Central,,,
 Yio Chu Kang Bus Interchange,"Ang Mo Kio Avenue 8, Singapore S(088401)",Central,,,
 Seletar Country Club,"101 Seletar Club Road, S(798273)",Central,,,
 Seletar Country Club (Ballroom),"101 Seletar Club Road, Singapore (798273)",Central,,,
 Kopitiam @ 437 Fernvale Road,"437 Fervale Road, #01-01, S(790437)",Central,,,
 NTUC Foodfare Court@Clifford Centre,"Clifford Centre, 24 Raffles Place, S(048621)",Central,,,
 Maritime and Port Authority of Singapore,"460 Alexandra Road, #18-00, S(119963)",Central,,,
 PSA Tanjong Pagar Complex,"7B Keppel Road, #19 - #21, S(089054)",Central,,,
 PSA Vista,"20 Harbour Drive, #08-00, S(117612)",Central,,,
 The URA Centre,"45 Maxwell Road, S(069118)",Central,,,
 112 Bukit Merah Market & Food Centre,"Blk 112 Jalan Bukit Merah, S(160112)",Central,,,
" 210, Toa Payoh Lorong 8 Market & Hawker Centre","210 Lorong 8 Toa Payoh, S(310210)",Central,,,
 ABC Brickworks Market & Food Centre,"Blk 6 Jalan Bukit Merah, S(150006)",Central,,,
 Adam Road Food Centre,"2 Adam Road, S(289876)",Central,,,
 Albert Centre Market & Food Centre,"Blk 270 Queen Street, S(180270)",Central,,,
 Alexandra Village Food Centre,"Blk 120 Bukit Merah Lane, S(150120)",Central,,,
 Amoy Street Food Centre,"National Development Building (Annex B) Telok Ayer Street, S(069111)",Central,,,
 Bendemeer Market & Food Centre,"Blk 29 Bendemeer Road, S(330029)",Central,,,
 Beo Crescent Market & Food Centre,"38A Beo Crescent, S(169982)",Central,,,
 Berseh Food Centre,"166 Jalan Besar, S(208877)",Central,,,
 Blk 1 Jalan Kukoh Hawker Centre,"1 Jalan Kukoh, S(161001)",Central,,,
 Blk 69 Geylang Bahru Market & Food Centre,"Blk 69 Geyalng Bahru, S(330069)",Central,,,
 Bukit Merah Central Food Centre,"Blk 163 Jalan Bukit Merah, S(150163)",Central,,,
 Bukit Timah Market & Food Centre ,"51 Upper Bukit Timah Road, S(588215)",Central,,,
 Chinatown Market,"335 Smith Street, S(050335)",Central,,,
 Commonwealth Crescent Market,"31 Commonwealth Crescent, S(149644)",Central,,,
 Golden Mile Food Centre,"505 Beach Road, S(199583)",Central,,,
 Havelock Road Food Centre,"Blk 22A, Havelock Road, S(161022)",Central,,,
 Holland Drive Market & Food Centre,"Blk 44 Holland Drive, S(270044)",Central,,,
 Hong Lim Market & Food Centre,"Blk 531A Upper Cross Street, S(510531)",Central,,,
 Kallang Estate Market & Food Centre,"17 Old Airport Road, S(397972)",Central,,,
 Margaret Drive Hawker Centre,"38A Margaret Drive, S(142038)",Central,,,
 Market Street Hawker Centre,"50, Market Street, S(048940)",Central,,,
 Maxwell Food Centre,"1 Kadayanallur Street, S(069184)",Central,,,
 Mei Ling Market & Food Centre,"Blk 159 Mei Chin Road, S(140159)",Central,,,
 Newton Food Centre,"500 Clemenceau Ave North, S(229495)",Central,,,
 North Bridge Road Market & Food Centre,"861 North Bridge Road, S(198783)",Central,,,
 People's Park Food Centre,"32 New Bridge Road, S(050032)",Central,,,
 Sembawang Hill Food Centre,"590 Upper Thomson Road, S(574419)",Central,,,
 Sims Vista Market & Food Centre,"Blk 49 Sims Place, S(380049)",Central,,,
 Tanglin Halt Market,"48A, Tanglin Halt Road, S(148813)",Central,,,
 Tekka Centre Zhu Jiao Market,"Blk 665 Buffalo Road, S(210665)",Central,,,
 Tiong Bahru Market,"30 Seng Poh Road, S(168898)",Central,,,
 Upper Boon Keng Market & Food Centre,"Blk 17, Upper Boon Keng Road, S(380017)",Central,,,
 Whampoa Drive Makan Place@Blk 90,"Blk 90 Whampoa Drive, S(320090)",Central,,,
 Whampoa Drive Makan Place@Blk 92,"Blk 92 Whampoa Drive, S(320092)",Central,,,
 Zion Riverside Food Centre,"70 Zion Road, S(247792)",Central,,,
 Ang Mo Kio MRT station,"2450 Ang Mo Kio Avenue 8, S(569811)",Central,,,
 Bayfront MRT Station,"11 Bayfront Avenue, S(018957)",Central,,,
 Bencoolen MRT Station (DT23),"31, Bencoolen Street, S(189658)",Central,,,
 Bendemeer MRT Station (DT23),"11 Kallang Bahru, S(339356)",Central,,,
 Bishan MRT station,"200 Bishan Road, S(579827)",Central,,,
 Boon Keng MRT Station (NE9),"900 Serangoon Road, S(328260)",Central,,,
 Botanic Garden (DT9),"100 Cluny Park, S(257494)",Central,,,
 Botanic Gardens MRT station,"701, Telok Blangah Road, S(109029)",Central,,,
 Braddell MRT Station,"377 Lorong 1, Toa Payoh, S(319756)",Central,,,
 Bras Basah MRT Station,"65 Bras Basah Road, S(189561)",Central,,,
 Bright Hill MRT Station (TE7),"100 Sin Ming Avenue, S(575737)",Central,,,
 Bugis MRT Station (DT14),"220 Voctoria Street, S(188022)",Central,,,
 Caldecott MRT Station (TE9),"38 Toa Payoh Rise, S(298113)",Central,,,
 Chinatown MRT Station (DT19),"91 Upper Cross Street, S(058362)",Central,,,
 Chinatown MRT Station (NE4),"151 New Bridge Road, (059443)",Central,,,
 City Hall MRT Station,"150 North Bridge Road, S(179100) EW13",Central,,,
 Clark Quay MRT Station (NE5),"10 Outram Road, S(169037)",Central,,,
 Commonwealth MRT Station (EW20),"375 Commonwealth Avenue, S(149735)",Central,,,
 Dhoby Ghaut MRT Station,"11 Orchard Road, S(238826) NS24",Central,,,
 Dhoby Ghaut MRT Station Circle Line,"11 Orchard Road, S(238826)",Central,,,
 Downtown MRT Station (DT17),"15 Central Boulevard, S(018969)",Central,,,
Esplanade MRT Station,"90 Bras Basah Road, S(189562)",Central,,,
