Type,Name,Address,District,,Type,District
Bus Interchange, AMK Bus Interchange,"53 Ang Mo Kio Avenue 3, S(569933)",Central,,Bus Interchange,Central
Bus Interchange, Ang Mo Kio Bus Depot,"Ang Mo Kio Street 52, S(569140)",Central,,Club,North East
Bus Interchange, Bishan Bus Interchange,"514 Bishan Street 13, S(570514)",Central,,Coffeeshop,North West
Bus Interchange, Harbourfront Bus Terminal,"4 Seah Im Road, S(099115)",Central,,Foodcourt,South East
Bus Interchange, Kampong Bahru Bus Terminal,"11A Spooner Road, S(168795)",Central,,Government Office,South West
Bus Interchange, Kent Ridge Bus Terminal,"37B, Clementi Road, S(884005)",Central,,Market & Food Centre,
Bus Interchange, Queens Street Bus Terminal,"Queens Street Bus Terminal, S(884001)",Central,,MRT Station,
Bus Interchange, Shenton Way Bus Terminal,"31 Shenton Way, S(079121)",Central,,Park,
Bus Interchange, St. Michael's Bus Terminal,"10 Whampoa Road, S(327691)",Central,,Pier,
Bus Interchange, Yio Chu Kang Bus Interchange,"Ang Mo Kio Avenue 8, Singapore S(088401)",Central,,Place of worship,
Club, Seletar Country Club,"101 Seletar Club Road, S(798273)",Central,,Private Office,
Club, Seletar Country Club (Ballroom),"101 Seletar Club Road, Singapore (798273)",Central,,Restaurant,
Coffeeshop, Kopitiam @ 437 Fernvale Road,"437 Fervale Road, #01-01, S(790437)",Central,,Shopping Centre,
Foodcourt, NTUC Foodfare Court@Clifford Centre,"Clifford Centre, 24 Raffles Place, S(048621)",Central,,Tourist Attraction,
Government Office, Maritime and Port Authority of Singapore,"460 Alexandra Road, #18-00, S(119963)",Central,,Community Centre,
Government Office, PSA Tanjong Pagar Complex,"7B Keppel Road, #19 - #21, S(089054)",Central,,Food Court,
Government Office, PSA Vista,"20 Harbour Drive, #08-00, S(117612)",Central,,Dormitory,
Government Office, The URA Centre,"45 Maxwell Road, S(069118)",Central,,Industrial Complex,
Market & Food Centre, 112 Bukit Merah Market & Food Centre,"Blk 112 Jalan Bukit Merah, S(160112)",Central,,,
Market & Food Centre," 210, Toa Payoh Lorong 8 Market & Hawker Centre","210 Lorong 8 Toa Payoh, S(310210)",Central,,,
Market & Food Centre, ABC Brickworks Market & Food Centre,"Blk 6 Jalan Bukit Merah, S(150006)",Central,,,
Market & Food Centre, Adam Road Food Centre,"2 Adam Road, S(289876)",Central,,,
Market & Food Centre, Albert Centre Market & Food Centre,"Blk 270 Queen Street, S(180270)",Central,,,
Market & Food Centre, Alexandra Village Food Centre,"Blk 120 Bukit Merah Lane, S(150120)",Central,,,
Market & Food Centre, Amoy Street Food Centre,"National Development Building (Annex B) Telok Ayer Street, S(069111)",Central,,,
Market & Food Centre, Bendemeer Market & Food Centre,"Blk 29 Bendemeer Road, S(330029)",Central,,,
Market & Food Centre, Beo Crescent Market & Food Centre,"38A Beo Crescent, S(169982)",Central,,,
Market & Food Centre, Berseh Food Centre,"166 Jalan Besar, S(208877)",Central,,,
Market & Food Centre, Blk 1 Jalan Kukoh Hawker Centre,"1 Jalan Kukoh, S(161001)",Central,,,
Market & Food Centre, Blk 69 Geylang Bahru Market & Food Centre,"Blk 69 Geyalng Bahru, S(330069)",Central,,,
Market & Food Centre, Bukit Merah Central Food Centre,"Blk 163 Jalan Bukit Merah, S(150163)",Central,,,
Market & Food Centre, Bukit Timah Market & Food Centre ,"51 Upper Bukit Timah Road, S(588215)",Central,,,
Market & Food Centre, Chinatown Market,"335 Smith Street, S(050335)",Central,,,
Market & Food Centre, Commonwealth Crescent Market,"31 Commonwealth Crescent, S(149644)",Central,,,
Market & Food Centre, Golden Mile Food Centre,"505 Beach Road, S(199583)",Central,,,
Market & Food Centre, Havelock Road Food Centre,"Blk 22A, Havelock Road, S(161022)",Central,,,
Market & Food Centre, Holland Drive Market & Food Centre,"Blk 44 Holland Drive, S(270044)",Central,,,
Market & Food Centre, Hong Lim Market & Food Centre,"Blk 531A Upper Cross Street, S(510531)",Central,,,
Market & Food Centre, Kallang Estate Market & Food Centre,"17 Old Airport Road, S(397972)",Central,,,
Market & Food Centre, Margaret Drive Hawker Centre,"38A Margaret Drive, S(142038)",Central,,,
Market & Food Centre, Market Street Hawker Centre,"50, Market Street, S(048940)",Central,,,
Market & Food Centre, Maxwell Food Centre,"1 Kadayanallur Street, S(069184)",Central,,,
Market & Food Centre, Mei Ling Market & Food Centre,"Blk 159 Mei Chin Road, S(140159)",Central,,,
Market & Food Centre, Newton Food Centre,"500 Clemenceau Ave North, S(229495)",Central,,,
Market & Food Centre, North Bridge Road Market & Food Centre,"861 North Bridge Road, S(198783)",Central,,,
Market & Food Centre, People's Park Food Centre,"32 New Bridge Road, S(050032)",Central,,,
