Address,Latitude,Longitude
MapsTooltip - Hidden - StringFilter,MapsLat - Hidden - NoFilter,MapsLong - Hidden - NoFilter
"53 Ang Mo Kio Avenue 3, S(569933)",1.3691369,103.848705
"Ang Mo Kio Street 52, S(569140)",1.3725681,103.8533043
"514 Bishan Street 13, S(570514)",1.3504486,103.8494572
"4 Seah Im Road, S(099115)",1.2669654,103.8190449
"11A Spooner Road, S(168795)",1.2760852,103.8326802
"37B, Clementi Road, S(884005)",1.2942117,103.7690639
"Queens Street Bus Terminal, S(884001)",,
"31 Shenton Way, S(079121)",1.2746121,103.8475536
"10 Whampoa Road, S(327691)",1.326925,103.855475
"Ang Mo Kio Avenue 8, Singapore S(088401)",1.3707675,103.8486932
"101 Seletar Club Road, S(798273)",1.4096081,103.8581298
"101 Seletar Club Road, Singapore (798273)",1.4096081,103.8581298
"437 Fervale Road, #01-01, S(790437)",1.3926519,103.8761231
"Clifford Centre, 24 Raffles Place, S(048621)",1.2838533,103.8519697
"460 Alexandra Road, #18-00, S(119963)",1.2736761,103.8015216
"7B Keppel Road, #19 - #21, S(089054)",1.272064,103.8423677
"20 Harbour Drive, #08-00, S(117612)",1.2831586,103.7792424
"45 Maxwell Road, S(069118)",1.2798286,103.8450885
"Blk 112 Jalan Bukit Merah, S(160112)",1.2800033,103.8260044
"210 Lorong 8 Toa Payoh, S(310210)",1.3403169,103.8545062
"Blk 6 Jalan Bukit Merah, S(150006)",1.287259,103.8079014
"2 Adam Road, S(289876)",1.3240414,103.8141545
"Blk 270 Queen Street, S(180270)",1.3009888,103.8540985
"Blk 120 Bukit Merah Lane, S(150120)",1.2864182,103.8045552
"National Development Building (Annex B) Telok Ayer Street, S(069111)",1.279116,103.8465144
"Blk 29 Bendemeer Road, S(330029)",1.3193373,103.8630249
"38A Beo Crescent, S(169982)",1.2889614,103.827332
"166 Jalan Besar, S(208877)",1.3073383,103.8568635
"1 Jalan Kukoh, S(161001)",1.2881765,103.8398758
"Blk 69 Geyalng Bahru, S(330069)",1.3214913,103.8700885
"Blk 163 Jalan Bukit Merah, S(150163)",1.2836976,103.816975
"51 Upper Bukit Timah Road, S(588215)",1.3393531,103.7759509
"335 Smith Street, S(050335)",1.2825863,103.8430923
